epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.131,1.40707,2.15463,1.38368,0.45407,0.21253,0.1918,0.11174,1.7259,6.21778,1.73437,0.0700472,0.00332809,0.00332809
2,300.8,1.35941,1.67113,1.36655,0.42821,0.32529,0.29703,0.17315,1.67788,2.80215,1.76304,0.0400032,0.00661746,0.00661746
3,448.996,1.28773,1.47396,1.32616,0.55004,0.44365,0.44939,0.26748,1.46584,2.26852,1.58024,0.00991524,0.00986283,0.00986283
4,596.906,1.22595,1.33451,1.2949,0.63675,0.55502,0.58891,0.39775,1.20323,1.84683,1.3789,0.009802,0.009802,0.009802
5,743.336,1.1598,1.19033,1.25331,0.73359,0.69224,0.73961,0.52019,1.05832,1.00355,1.23558,0.009736,0.009736,0.009736
6,889.925,1.10833,1.08321,1.21653,0.79502,0.69394,0.76345,0.54471,1.02181,0.91021,1.20782,0.00967,0.00967,0.00967
7,1036.48,1.06446,1.00683,1.1958,0.80799,0.73893,0.80323,0.57981,0.97771,0.83375,1.18215,0.009604,0.009604,0.009604
8,1182.67,1.03182,0.94165,1.17575,0.81169,0.77089,0.81923,0.6003,0.95654,0.7693,1.16349,0.009538,0.009538,0.009538
9,1328.94,1.01049,0.89642,1.16329,0.85015,0.80169,0.85063,0.63295,0.91248,0.68647,1.13655,0.009472,0.009472,0.009472
10,1475.39,0.98889,0.85474,1.14681,0.86975,0.81162,0.86384,0.65205,0.87961,0.65313,1.10987,0.009406,0.009406,0.009406
11,1621.53,0.97472,0.83012,1.13878,0.85016,0.82174,0.86716,0.65724,0.87701,0.63154,1.10473,0.00934,0.00934,0.00934
12,1767.42,0.9632,0.80748,1.13259,0.87364,0.83567,0.88035,0.6732,0.84693,0.59872,1.08964,0.009274,0.009274,0.009274
13,1913.39,0.95517,0.78401,1.12642,0.87463,0.84382,0.88706,0.68249,0.83108,0.57766,1.07494,0.009208,0.009208,0.009208
14,2059.88,0.94292,0.7669,1.12078,0.89463,0.84456,0.89411,0.69161,0.82356,0.55659,1.07018,0.009142,0.009142,0.009142
15,2205.77,0.93401,0.75161,1.11364,0.89062,0.84691,0.89564,0.6962,0.8097,0.54397,1.05601,0.009076,0.009076,0.009076
16,2351.59,0.92462,0.73629,1.10869,0.8982,0.852,0.89981,0.70225,0.80506,0.53345,1.05714,0.00901,0.00901,0.00901
17,2497.42,0.91654,0.72403,1.10355,0.90078,0.85694,0.90335,0.70578,0.79722,0.52507,1.0477,0.008944,0.008944,0.008944
18,2643.2,0.91161,0.71257,1.09696,0.90563,0.85852,0.90609,0.70979,0.79011,0.51439,1.04236,0.008878,0.008878,0.008878
19,2789.17,0.90644,0.70002,1.0945,0.91198,0.85652,0.90755,0.71154,0.78501,0.50857,1.03986,0.008812,0.008812,0.008812
20,2935.01,0.89795,0.68897,1.08976,0.91414,0.86036,0.91063,0.71638,0.78091,0.50145,1.03626,0.008746,0.008746,0.008746
21,3080.89,0.89294,0.68135,1.08612,0.90818,0.86522,0.91168,0.71919,0.77593,0.49714,1.0318,0.00868,0.00868,0.00868
22,3226.63,0.88979,0.67454,1.08223,0.91205,0.86852,0.91406,0.72174,0.77232,0.4922,1.02826,0.008614,0.008614,0.008614
23,3372.29,0.88215,0.6676,1.08069,0.9121,0.87175,0.91534,0.72387,0.76968,0.48718,1.02673,0.008548,0.008548,0.008548
24,3518.12,0.8841,0.66155,1.08001,0.91571,0.87227,0.91652,0.72588,0.76637,0.48275,1.02406,0.008482,0.008482,0.008482
25,3663.87,0.87846,0.65382,1.07712,0.91677,0.87281,0.91732,0.72751,0.76428,0.47928,1.02196,0.008416,0.008416,0.008416
26,3809.6,0.8743,0.64699,1.07423,0.91676,0.87315,0.91857,0.72865,0.76257,0.47691,1.02047,0.00835,0.00835,0.00835
27,3955.48,0.873,0.64514,1.07273,0.91722,0.87495,0.91897,0.73,0.76056,0.47502,1.01917,0.008284,0.008284,0.008284
